area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Super built-up  Area,18-May,Hosur Road,,PuendWe,1427,2,1,130
Built-up  Area,Ready To Move,Upadhyaya Layout,,,935,2,0,40
Built-up  Area,Ready To Move,Ashwath Nagar,,Raeusiy,1220,2,3,65
Super built-up  Area,Ready To Move,Harlur,,Prncyrn,1197,2,1,77
Super built-up  Area,18-Dec,Varthur,,,674,1,1,19.9
Built-up  Area,Ready To Move,Kengeri,,,410,1,1,15
Built-up  Area,18-Apr,Thanisandra,,Bhmesy ,1573,3,1,90
Super built-up  Area,Ready To Move,Dodda Nekkundi,,Srsami ,1135,2,2,58
Built-up  Area,18-Dec,Huskur,,,1400,2,1,40.43
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,,,1200,1,0,65
Plot  Area,Ready To Move,Ittamadu,,,1800,3,0,95
Built-up  Area,Ready To Move,Avalahalli,,Sohea A,2045,3,2,108
Super built-up  Area,Ready To Move,Sonnenahalli,,Skacak ,1268,2,1,56
Super built-up  Area,Ready To Move,Kambipura,,Prrtht ,883,2,1,39
Super built-up  Area,Ready To Move,Yelahanka,,PuziaVe,1600,3,3,100
Super built-up  Area,Ready To Move,Thanisandra,,Bhmesy ,1056,2,2,70
Plot  Area,Ready To Move,Jigani,,,1200,11,,105
Plot  Area,Ready To Move,Whitefield,,StodsWa,4500,4,,330
Super built-up  Area,Ready To Move,KR Puram,,Gasom B,1204,2,2,58
Super built-up  Area,Ready To Move,Tejaswini Nagar,,Dhndsh ,1410,2,1,54
Built-up  Area,Ready To Move,Hennur Road,,Elley B,1460,2,1,80.3
Super built-up  Area,Ready To Move,Dodda Nekkundi,,,1100,2,1,41.18
Super built-up  Area,Ready To Move,Govindapura,,AbarkVa,1310,2,1,88
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,,Putus L,1600,3,2,90
Super built-up  Area,Ready To Move,Lottegolla Halli,,,1250,2,2,55
Super built-up  Area,Ready To Move,Sarjapur  Road,,SJityaz,1665,3,2,74.93
Super built-up  Area,Ready To Move,Uttarahalli,,Aklia R,1345,2,1,57
Built-up  Area,Ready To Move,Hosahalli Extension,,,2000,5,2,240
Super built-up  Area,Ready To Move,Singasandra,,SRensar,1416,2,2,67
Super built-up  Area,Ready To Move,HSR Layout,,NRosete,1145,2,2,46
Built-up  Area,Ready To Move,Munnekollal,,,7200,10,3,200
Built-up  Area,Ready To Move,Jigani,,DLhtsen,1231,3,2,58
Super built-up  Area,Ready To Move,Yelahanka,,Neite T,1664,3,0,73.95
Built-up  Area,Ready To Move,TC Palaya,,,2000,3,1,76
Built-up  Area,Ready To Move,Rajiv Nagar,,Ahntyve,972,2,2,43
Built-up  Area,Ready To Move,3rd Phase JP Nagar,,,4500,4,3,345
Super built-up  Area,Ready To Move,Bellandur,,,1185,2,1,47.39
Built-up  Area,Ready To Move,Green Glen Layout,,,1750,3,2,81
Built-up  Area,Ready To Move,Byadarahalli,,Prurten,3155,4,,316
Super built-up  Area,18-Dec,Balagere,,Soresea,1007,2,1,68
Super built-up  Area,Ready To Move,Rajaji Nagar,,,1700,3,2,200
Super built-up  Area,Ready To Move,Whitefield,,Veales ,1250,2,2,85
Super built-up  Area,Ready To Move,Telecom Layout,,,1200,2,1,54
Super built-up  Area,18-Aug,Horamavu Agara,,S2ionrn,994,2,1,42.28
Super built-up  Area,18-Apr,Ramamurthy Nagar,,,1150,2,2,40
Super built-up  Area,Ready To Move,Thanisandra,,MenueNo,1220,2,2,46
Super built-up  Area,Ready To Move,Hennur Gardens,,PlhtsHe,1441,2,1,115
Super built-up  Area,19-Mar,Old Madras Road,,Saesttt,1157,2,2,47.32
Super built-up  Area,Ready To Move,RPC layout,,,1300,6,3,150
Super built-up  Area,Ready To Move,Thigalarapalya,,Prtanha,1400,2,2,105
Built-up  Area,Ready To Move,Tindlu,,,1370.07,3,1,65
Plot  Area,Ready To Move,Magadi Road,,,1200,4,1,130
Super built-up  Area,20-Dec,Judicial Layout,,,900,2,1,40
Super built-up  Area,Ready To Move,Kodipalya,,,418,1,1,17
Plot  Area,Ready To Move,Vishwapriya Nagar,,,1200,3,1,80
Built-up  Area,Ready To Move,ISRO Layout,,,1200,2,3,43
Super built-up  Area,Ready To Move,Talaghattapura,,,1062,2,1,42.48
Super built-up  Area,Ready To Move,Kanakpura Road,,,1120,2,1,51
Super built-up  Area,Ready To Move,Bannerghatta Road,,,1012,2,1,44
Plot  Area,Ready To Move,Postal Colony,,,1500,2,1,200
Built-up  Area,Ready To Move,ISRO Layout,,,950,4,,180
Super built-up  Area,Ready To Move,Kadabagere,,Jahipa ,675,2,2,13.5
Super built-up  Area,Ready To Move,Kanakpura Road,,Atarebe,1430,2,2,78
Super built-up  Area,Ready To Move,Channasandra,,,1195,2,1,56
Super built-up  Area,Ready To Move,Old Madras Road,,Brica E,2640,5,1,150
Super built-up  Area,Ready To Move,Bisuvanahalli,,Prityel,1075,2,1,42
Super built-up  Area,18-Sep,Hennur Road,,Shxorm ,1550 - 1590,3,0,75.99
Plot  Area,Ready To Move,Kammanahalli,,,782,4,2,85
Built-up  Area,18-Feb,Sonnenahalli,,Skacak ,1011,2,1,59
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,BriumMi,1450,2,1,102
Super built-up  Area,Ready To Move,Sarjapur  Road,,Ahriaup,1129,2,1,69
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,,Soe 2as,1126,2,1,36
Plot  Area,18-Dec,Attibele,,AkArkti,1200,3,,110
Super built-up  Area,Ready To Move,Sarjapur  Road,,MJinele,1180,2,2,45
Plot  Area,Ready To Move,1st Block HRBR Layout,,,600,4,2,125
Plot  Area,18-Apr,Bannerghatta,,,940,4,2,45
Super built-up  Area,Ready To Move,Hennur Road,,Samittv,1933,3,2,140
Built-up  Area,Ready To Move,TC Palaya,,,1082,2,2,64
Plot  Area,Ready To Move,LB Shastri Nagar,,,2400,8,1,250
Super built-up  Area,19-Dec,Anwar Layout,,UKicte ,610,1,0,28
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,,,1560,4,1,160
Super built-up  Area,Ready To Move,Kathriguppe,,Prone M,1300,3,3,77.99
Built-up  Area,Ready To Move,Kudlu Gate,,,3850,6,0,205
Built-up  Area,Ready To Move,CV Raman Nagar,,,1125,2,1,46
Plot  Area,Ready To Move,Bileshivale,,,2400,7,2,107
Super built-up  Area,Ready To Move,Kengeri Satellite Town,,,777.4,2,0,25
Super built-up  Area,Ready To Move,Battarahalli,,,2500,3,1,65
Super built-up  Area,Ready To Move,Old Airport Road,,Roa 2ha,1798,3,,150
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,,AlEcone,1864,3,2,120
Super built-up  Area,Ready To Move,Whitefield,,,1115,2,1,51.91
Super built-up  Area,Ready To Move,Kengeri,,,400,1,1,25
Super built-up  Area,Ready To Move,Rajaji Nagar,,,1200,2,1,70
Super built-up  Area,18-May,Ananth Nagar,,,992,2,2,24.8
Built-up  Area,Ready To Move,Jakkasandra Extension,,,950,2,3,57
Plot  Area,Ready To Move,R.T. Nagar,,,1500,4,3,185
Super built-up  Area,Ready To Move,Bellandur,,Krine O,1200,2,1,62
Built-up  Area,Ready To Move,GM Palaya,,Srg Bnc,1735,3,2,70
Built-up  Area,Ready To Move,BTM 2nd Stage,,SNe 2ev,1750,3,3,172
Super built-up  Area,Ready To Move,HSR Layout,,Ammesss,1009,2,2,56
Super built-up  Area,Ready To Move,Jalahalli,,BrardCo,1470,2,3,102
Super built-up  Area,Ready To Move,Bannerghatta Road,,,1527,3,2,115
Built-up  Area,Ready To Move,Singapura Village,,Juoryma,985,2,1,45
Built-up  Area,Ready To Move,Chandapura,,,3300,4,2,135
Super built-up  Area,18-Jun,Whitefield,,Asarqz ,1277,2,1,77
Super built-up  Area,18-May,Nallurhalli,,CMoneoo,1100,2,1,62
Super built-up  Area,Ready To Move,Whitefield,,Brony H,1820,3,2,140
Super built-up  Area,Ready To Move,Puttanahalli,,,1530,3,3,87
Super built-up  Area,Ready To Move,Banashankari,,PrdgeSo,1886,3,2,205
Plot  Area,Ready To Move,Chandra Layout,,,1200,2,0,190
Super built-up  Area,Ready To Move,Jakkur,,BrdgeNo,1880,4,2,110
Super built-up  Area,Ready To Move,Hennur,,Shateor,1255,2,2,52.35
Super built-up  Area,21-Dec,Kanakpura Road,,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Somasundara Palya,,,1140,2,2,46
Built-up  Area,18-Aug,Electronic City Phase II,,Sryalan,1025,2,1,29.6
Built-up  Area,Ready To Move,Whitefield,,ArsiaEx,3453,4,2,247
Super built-up  Area,Ready To Move,Uttarahalli,,,1490,2,2,59.6
Plot  Area,Ready To Move,Akshaya Vana,,,1200,4,2,165
Super built-up  Area,Ready To Move,Sarjapur  Road,,Adeatlm,1850,3,2,140
Super built-up  Area,Ready To Move,Kaikondrahalli,,,1250,2,1,78
Super built-up  Area,Ready To Move,Kamakya Layout,,,2400,3,1,108
Super built-up  Area,Ready To Move,Kodihalli,,Soianal,3522,5,3,716
Super built-up  Area,18-Dec,Jalahalli,,Vaniai ,1244,2,2,88
Plot  Area,Ready To Move,Kumaraswami Layout,,,623,4,1,75
Super built-up  Area,18-Dec,Kengeri Satellite Town,,DSestSt,1025,2,1,28.57
Super built-up  Area,Ready To Move,Sarjapur  Road,,DSlesSp,1034,2,1,38
Super built-up  Area,18-Jan,Kengeri Satellite Town,,DSestSt,1191,2,2,33.34
Super built-up  Area,Ready To Move,Kasavanhalli,,Maowsve,1719,3,2,71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,,1035,2,1,39.33
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,,1500,3,2,230
Super built-up  Area,18-Dec,Hosa Road,,SJerse ,1470,2,2,84.22
Super built-up  Area,Ready To Move,Yelahanka,,,1140,2,1,50.66
Super built-up  Area,Ready To Move,Harlur,,SosicCl,1752.12,3,2,125
Plot  Area,Ready To Move,BTM 1st Stage,,,600,6,2,80
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,,600,3,1,84
Super built-up  Area,Ready To Move,Old Madras Road,,Brica E,2990,3,2,170
Super built-up  Area,Ready To Move,Bannerghatta Road,,SNity S,1660,3,2,85
Super built-up  Area,Ready To Move,Electronic City,,Pao 3ow,1275,3,3,63.43
Super built-up  Area,18-Jun,Bommasandra Industrial Area,,,1365,3,1,52.81
Plot  Area,Ready To Move,"MEI layout, Bagalgunte",,,1200,2,0,90
Super built-up  Area,Ready To Move,Kanakpura Road,,,2546,3,,170
Super built-up  Area,20-Oct,Banashankari Stage VI,,Brens7 ,1392,3,1,69.46
Super built-up  Area,18-Mar,Whitefield,,Asarqz ,1245,2,1,59.76
Built-up  Area,Ready To Move,Rayasandra,,,1200,3,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,,IBityin,1162,2,2,64.08
Super built-up  Area,Ready To Move,Singasandra,,EAvarum,1476,2,1,73
Built-up  Area,Ready To Move,KR Puram,,,700,1,1,21.5
Built-up  Area,Ready To Move,Gnana Bharathi,,,3600,6,1,170
Built-up  Area,Ready To Move,Jigani,,DLhtsen,943,2,2,48
Plot  Area,Ready To Move,Pai Layout,,,1150,2,1,170
Super built-up  Area,Ready To Move,Sarjapur  Road,,VHinoel,1113,2,1,44.5
Super built-up  Area,20-Dec,Varthur,,Myple M,1615,3,2,69.43
Super built-up  Area,Ready To Move,Keshava Nagar,,ETens G,1279,2,3,100
Super built-up  Area,Ready To Move,Kacharakanahalli,,,1256,2,1,60
Built-up  Area,Ready To Move,Benson Town,,,1805,3,2,280
Built-up  Area,Ready To Move,Sompura,,Suiseit,1350,3,1,65
Super built-up  Area,18-May,SRINIVASAPURA,,,1525,3,2,68.63
Super built-up  Area,18-Aug,Rajaji Nagar,,ProdsWe,1357,2,1,123
Super built-up  Area,19-Mar,Hebbal,,Raard B,1645,3,2,117
Super built-up  Area,Ready To Move,Ardendale,,SoystAm,1777.26,3,2,92
Super built-up  Area,Ready To Move,Bisuvanahalli,,Prityel,845,2,2,32
Built-up  Area,Ready To Move,Sidedahalli,,,900,2,0,25
Super built-up  Area,18-Sep,Varthur,,Soamsay,1210,2,1,64.15
Super built-up  Area,19-Aug,Electronic City Phase II,,,829,2,1,22.8
Super built-up  Area,Ready To Move,Sarjapur  Road,,Adeatlm,1879,3,2,155
Super built-up  Area,17-Jun,Hosur Road,,Collsrn,1250,2,2,50
Built-up  Area,Ready To Move,Jeevanhalli,,,1200,2,2,35
Super built-up  Area,19-Mar,Marathahalli,,Unezes ,1108,2,1,60
Super built-up  Area,18-Aug,Kanakpura Road,,,1401,3,2,69
Super built-up  Area,19-Oct,Sarjapur  Road,,AsastDe,1157,2,1,75
Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,,SaaceSa,1185,2,1,42.66
Super built-up  Area,Ready To Move,Green Glen Layout,,Soweray,1751,3,2,115
Plot  Area,Ready To Move,Mahalakshmi Puram,,,1550,3,1,250
Super built-up  Area,Ready To Move,Bannerghatta Road,,SNity S,1880,3,2,96.5
Super built-up  Area,20-Dec,Whitefield,,Somns T,1235 - 1410,3,0,40.985
Super built-up  Area,Ready To Move,Channasandra,,,1175,2,2,38
Built-up  Area,Ready To Move,Jalahalli,,Prensin,1407,2,1,98.49
Super built-up  Area,Ready To Move,Yelachenahalli,,Shentnd,1000,2,2,50
Super built-up  Area,Ready To Move,Electronic City,,Briumri,1518,3,3,75
Plot  Area,Ready To Move,"Gubbi Cross, Hennur Main Road",,,3600,4,2,300
Super built-up  Area,18-May,Tumkur Road,,Sahtsva,1027,2,1,67
Super built-up  Area,Ready To Move,Dairy Circle,,Soeurri,3730,6,2,430
Built-up  Area,Ready To Move,HSR Layout,,NRosete,1145,2,2,46
Super built-up  Area,18-Aug,Rajaji Nagar,,ProdsWe,1260,2,2,113
Super built-up  Area,Ready To Move,Begur Road,,Dhalsh ,1500,2,3,47.25
Super built-up  Area,Ready To Move,Varthur,,DSingSt,1737,2,1,57.32
Super built-up  Area,18-Dec,Hennur,,Exitym ,3484 - 3550,,,161.5
Plot  Area,Ready To Move,Byrathi Village,,,1600,4,1,120
Built-up  Area,Ready To Move,Hegde Nagar,,Sonosty,1500,3,2,135
Plot  Area,Ready To Move,Sabari Nagar,,,1120,2,0,60
Plot  Area,Ready To Move,Banashankari Stage V,,,1200,4,1,240
Super built-up  Area,18-Dec,Hennur Road,,Inaxyga,1030,2,1,46.5
Built-up  Area,Ready To Move,Gubbalala,,,2500,6,1,88
Super built-up  Area,Ready To Move,Kammasandra,,Sulya A,1057,2,1,35
Super built-up  Area,18-Dec,Old Airport Road,,Jaades ,2774,4,3,208
Super built-up  Area,Ready To Move,Thanisandra,,SLaceda,1460,2,2,38.5
Super built-up  Area,Ready To Move,Hormavu,,ARureig,1075,2,1,53.7
Super built-up  Area,Ready To Move,Mysore Road,,,1080,2,1,60
Super built-up  Area,19-Dec,Kodihalli,,Priesla,3626,5,3,788
Super built-up  Area,Ready To Move,Ashraya Layout,,,5100,7,,225
Super built-up  Area,Ready To Move,Singasandra,,SLowse ,1139.7,2,1,45
Super built-up  Area,18-Jun,Whitefield,,ARipsul,1074,2,1,42.8
Plot  Area,18-Jul,Whitefield,,,1200,2,1,46.13
Super built-up  Area,Ready To Move,Sarjapur  Road,,Puallhi,2425,5,1,175
Super built-up  Area,Ready To Move,Sarjapur  Road,,Maantr ,1323,2,2,74
Super built-up  Area,18-Aug,Hennur Road,,Puachal,1232,2,1,69.61
Super built-up  Area,Ready To Move,Kalena Agrahara,,Prmesi ,900,2,1,40
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,,Soe 2as,740,1,1,23.65
Super built-up  Area,18-Dec,Hebbal,,Mahosya,1920,3,2,134
Plot  Area,Ready To Move,Arishinakunte,,,38Guntha,1,0,170
Super built-up  Area,Ready To Move,Bannerghatta Road,,SNity S,1550,3,2,96
Super built-up  Area,Ready To Move,Gunjur,,MyhtsHe,1588,2,3,90
Built-up  Area,Ready To Move,Rajaji Nagar,,,2300,4,1,240
Built-up  Area,Ready To Move,R.T. Nagar,,,3600,8,2,165
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",,,1308,2,1,86
Super built-up  Area,Ready To Move,Hennur,,MDncyhi,1340,2,2,54.27
Plot  Area,Ready To Move,Kogilu,,,3280,9,3,450
Built-up  Area,Ready To Move,Infantry Road,,,2170,3,2,265
Super built-up  Area,Ready To Move,Thanisandra,,Soitya ,1719,3,2,135
Super built-up  Area,Ready To Move,Horamavu Agara,,Maows M,1107.83,2,1,41.51
Plot  Area,18-Jul,Whitefield,,,1200,2,1,45.84
Built-up  Area,18-Dec,Electronic City,,,1090,2,1,31.48
Plot  Area,Ready To Move,Sarvabhouma Nagar,,,1500,5,2,210
Super built-up  Area,18-Dec,Jakkur,,BrdgeNo,1660,3,2,104
Super built-up  Area,Ready To Move,Nagavara,,K dotna,1247,2,1,58.56
Super built-up  Area,18-May,Thanisandra,,Bhmesy ,1595,3,2,96
Super built-up  Area,Ready To Move,Kaggadasapura,,JaaldEm,1175,2,2,50
Plot  Area,Ready To Move,9th Phase JP Nagar,,,1200,8,,135
Super built-up  Area,Ready To Move,Old Airport Road,,VSletes,1184,2,1,78
Super built-up  Area,Ready To Move,Byrasandra,,Srhan P,1100,2,2,55
Plot  Area,18-Apr,Kaval Byrasandra,,,935,2,0,78
Built-up  Area,Ready To Move,Yelahanka,,Niareum,1200,2,2,60
Plot  Area,Ready To Move,Rajaji Nagar,,,2400,5,1,408
Super built-up  Area,Ready To Move,Neelamangala,,,1000,2,1,45
Built-up  Area,Ready To Move,Uttarahalli,,KBnnupu,1000,2,0,52
Super built-up  Area,Ready To Move,Yelahanka,,Prensya,1705,3,2,85
Built-up  Area,Ready To Move,Tumkur Road,,Mairer ,1060,2,2,58.3
Plot  Area,Ready To Move,Chikka Tirupathi,,Theanmp,2325,4,1,120
Super built-up  Area,17-Mar,Kammagondahalli,,DiiteR ,1347,2,2,55
Plot  Area,Ready To Move,Kathreguppe,,,1200,8,3,250
Super built-up  Area,17-Dec,Varthur,,Unris E,1402,2,2,95
Super built-up  Area,18-Oct,Whitefield,,Prtates,2280,4,2,125
Super built-up  Area,Ready To Move,Whitefield ECC Road,,,1225,2,2,71.05
Super built-up  Area,Ready To Move,5th Phase JP Nagar,,Maodser,1080,2,1,53
Built-up  Area,18-Apr,Koppa,,,4000,7,,90
Super built-up  Area,Ready To Move,Lavelle Road,,,1919,3,0,300
Built-up  Area,Ready To Move,Begur Road,,Dhalsh ,1100,2,2,42.6
Super built-up  Area,Ready To Move,Sarjapur  Road,,DSndsod,2500,4,3,225
Super built-up  Area,22-Jan,Bannerghatta Road,,PrarePa,1200,2,2,78
Super built-up  Area,Ready To Move,Begur Road,,Dhalsh ,1565,2,2,57.91
Plot  Area,18-Apr,Maruthi nagar kogilu,,,1200,3,0,78
Super built-up  Area,Ready To Move,Kothanur,,,1581,3,3,76
Super built-up  Area,18-Dec,Whitefield,,Prtates,2882,5,1,200
Plot  Area,Ready To Move,TC Palaya,,,1440,5,2,97
Super built-up  Area,Ready To Move,Krishna Reddy Layout,,RahtsHe,2180,3,3,273
Built-up  Area,Ready To Move,Nagasandra,,,7000,8,,450
Super built-up  Area,Ready To Move,Abbigere,,SLtias ,985,2,1,38.92
Built-up  Area,Ready To Move,Sarjapur,,Sondaka,950,2,2,35
Super built-up  Area,Ready To Move,Jai Bheema Nagar,,,1339,2,2,55
Super built-up  Area,Ready To Move,Ayappa Nagar,,Spity E,1449,3,1,72
Plot  Area,Ready To Move,Chikkasandra,,,1200,4,2,180
Super built-up  Area,18-May,Brindavan Layout,,,1100,2,2,38.68
Super built-up  Area,Ready To Move,Hoskote,,Soose P,929 - 1078,2,0,28.095
Built-up  Area,Ready To Move,Kaval Byrasandra,,,2700,3,2,200
Super built-up  Area,Ready To Move,Billamaranahalli,,,1100,2,3,55
Built-up  Area,18-Dec,Electronic City,,,1140,2,1,32.92
Plot  Area,Ready To Move,Sarjapur,,Prldsum,3009,3,2,330
Super built-up  Area,Ready To Move,Hanumantha Nagar,,,3300,8,3,310
Built-up  Area,Ready To Move,Chandapura,,,800,1,2,30
Built-up  Area,Ready To Move,Chikkabanavar,,,2000,4,0,65
Plot  Area,Ready To Move,Prasanti Nagar,,,1200,4,1,190
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,,Icncy R,1300,2,3,95
Super built-up  Area,Ready To Move,Kanakpura Road,,Hahtsya,1220,2,2,60
Super built-up  Area,Ready To Move,Sarjapur  Road,,SoniaEt,2289,3,2,178
Super built-up  Area,18-Jan,Whitefield,,Suhamra,1170,2,1,56
Super built-up  Area,Ready To Move,Vignana Nagar,,,1350,2,2,89.5
Super built-up  Area,Ready To Move,Kambipura,,Prrtht ,883,2,1,45
Built-up  Area,Ready To Move,Thanisandra,,Soitya ,1698,3,2,125
Super built-up  Area,18-May,Electronic City Phase II,,SNbay G,2150 - 2225,4,0,105
Super built-up  Area,Ready To Move,Ambalipura,,,1060,2,1,58.5
Super built-up  Area,Ready To Move,Somasundara Palya,,ManceEl,1185,2,2,75
Super built-up  Area,20-Dec,Padmanabhanagar,,SollyCl,2051,3,1,180
Super built-up  Area,Ready To Move,Vittasandra,,,1404,2,1,72
Super built-up  Area,Ready To Move,Electronic City Phase II,,Brods W,1252,2,1,67
Super built-up  Area,18-Mar,Bannerghatta Road,,,1885,3,1,125
Built-up  Area,Ready To Move,Kaikondrahalli,,,3381,6,3,225
Super built-up  Area,Ready To Move,Hormavu,,,980,2,2,42
Super built-up  Area,Ready To Move,Rajaji Nagar,,PhestOn,2500,3,3,340
Super built-up  Area,19-Jan,Banashankari,,,1420,3,1,66
Plot  Area,Ready To Move,Medahalli,,,1166,6,,135
Built-up  Area,Ready To Move,"Banasawadi, ",,,2312,3,2,156
Super built-up  Area,Ready To Move,Kaggadasapura,,Golmsoy,3000,4,,130
Built-up  Area,Ready To Move,Jayamahal,,,1175,2,1,70
Super built-up  Area,Ready To Move,Vinayaka Nagar,,,1145,2,2,51
Built-up  Area,Ready To Move,Bhoganhalli,,Suwerlo,970,2,1,52.5
Built-up  Area,18-Dec,Electronic City,,,1125,2,1,32.49
Super built-up  Area,19-Sep,Whitefield,,DSersus,1520 - 1759,3,0,92.63
Built-up  Area,Ready To Move,9th Phase JP Nagar,,ImiteEl,5000,4,,300
Built-up  Area,Ready To Move,3rd Block Jayanagar,,,2150,3,3,240
Super built-up  Area,18-Jul,Ramagondanahalli,,ViistLa,1635,3,1,57
Built-up  Area,Ready To Move,Harlur,,Femes S,3425,3,1,320
Built-up  Area,19-Mar,Hennur Road,,Gollela,2950,4,3,253
Super built-up  Area,18-Dec,Jalahalli,,Vaniai ,1200,2,1,66
Super built-up  Area,Ready To Move,Kathriguppe,,,1335,2,2,73.43
Super built-up  Area,Ready To Move,Hebbal,,Brium C,4450,6,0,449
Super built-up  Area,Ready To Move,Yeshwanthpur,,IBityin,1166,2,1,64.08
Super built-up  Area,Ready To Move,Rajaji Nagar,,PhestOn,2390,3,1,372
Super built-up  Area,Ready To Move,Shivaji Nagar,,,1460,2,1,90
Super built-up  Area,Ready To Move,Gulimangala,,Daxir E,1690,3,3,50
Plot  Area,Ready To Move,Nagashetty Halli,,,1386,3,2,93
Super built-up  Area,Ready To Move,Devasandra Extension,,,1090,2,2,32
Super built-up  Area,21-Dec,Thanisandra,,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,Ready To Move,Whitefield,,,1390,2,1,72
Built-up  Area,Ready To Move,Sector 2 HSR Layout,,DShtsow,1095,2,1,85.41
Super built-up  Area,19-Dec,Kengeri,,VBn 2lm,416,1,1,17.19
Super built-up  Area,Ready To Move,Channasandra Layout,,,2400,2,3,50
Built-up  Area,Ready To Move,Yelahanka,,NCs 2rj,1350,2,3,85
Built-up  Area,Ready To Move,Bannerghatta Road,,,1453,2,2,73
Super built-up  Area,Ready To Move,Thanisandra,,Moity S,1226,2,1,65
Plot  Area,Ready To Move,Kasturi Nagar,,,784,2,2,165
Super built-up  Area,Ready To Move,Hegde Nagar,,Dhniail,1168,2,1,68
Super built-up  Area,19-Dec,Bannerghatta,,Mamespa,1776,3,2,124
Built-up  Area,Ready To Move,Whitefield,,CMionsy,1634,3,2,68
Plot  Area,Ready To Move,Hormavu,,,860,2,0,56
Plot  Area,Ready To Move,Kamala Nagar,,,2800,3,1,400
Super built-up  Area,Ready To Move,Nagasandra,,,1650,3,2,95
Super built-up  Area,Ready To Move,Whitefield,,Pae 1ov,1190,2,1,70
Super built-up  Area,18-Aug,JP Nagar,,DSvvyx ,1133,2,1,33.99
Super built-up  Area,Ready To Move,Suraksha Nagar,,AritaFe,1559,3,2,62
Plot  Area,Ready To Move,Horamavu Banaswadi,,,1448,4,0,118
Super built-up  Area,Ready To Move,Sathya Sai Layout,,Prowshi,6652,6,1,510
Super built-up  Area,Ready To Move,Kodichikkanahalli,,Prs 2hi,976,2,1,50
Plot  Area,Ready To Move,Bank Of Baroda Colony,,,1350,4,3,240
Super built-up  Area,Ready To Move,Yelahanka,,,1590,2,2,54
Super built-up  Area,19-Dec,Binny Pete,,Shestlo,2940,6,2,201
Built-up  Area,Ready To Move,Yelahanka,,NCarkna,1633,3,2,110
Super built-up  Area,18-Aug,Ramagondanahalli,,ViistLa,1151,2,2,46
Super built-up  Area,Ready To Move,Kereguddadahalli,,DSdorSp,1400,2,2,42
Super built-up  Area,17-Apr,Uttarahalli,,DSera S,1037,2,1,36
Super built-up  Area,Ready To Move,Thanisandra,,SLaceda,1188,2,1,36
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,,Amnavdr,1060,2,1,52
Super built-up  Area,Ready To Move,Thigalarapalya,,Prtanha,2215,4,2,162
Super built-up  Area,Ready To Move,Hennur,,,1255,2,2,54.5
Plot  Area,Ready To Move,Ganesha Block,,,2500,2,1,300
Super built-up  Area,Ready To Move,Hormavu,,ARureig,1075,2,1,53.7
Super built-up  Area,17-Apr,Harlur,,Prncyrn,2569,5,3,180
Super built-up  Area,18-Dec,ITPL,,,900,2,1,27
Super built-up  Area,18-Aug,Kudlu Gate,,Sanzaat,1183,2,1,79.54
Super built-up  Area,Ready To Move,HSR Layout,,Veyal V,1100,2,2,44
Super built-up  Area,Ready To Move,GM Palaya,,,1643,2,2,70
Super built-up  Area,Ready To Move,Banagiri Nagar,,,1500,2,2,120
Super built-up  Area,Ready To Move,Jakkur,,HRaniIb,1291,2,1,75
Plot  Area,17-Oct,Hennur,,,1150,3,2,80
Super built-up  Area,Ready To Move,Electronic City,,GMown E,1060,2,1,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,Eladero,1575,2,2,110
Plot  Area,Ready To Move,BHEL Layout,,,1200,4,1,160
Built-up  Area,Ready To Move,Byrathi Village,,,1700,3,2,55
Super built-up  Area,Ready To Move,Mahadevpura,,Neisei ,1236,2,1,58
Built-up  Area,Ready To Move,Ramamurthy Nagar,,,1350,2,2,39
Super built-up  Area,Ready To Move,Malleshwaram,,Sariaat,2475,4,3,326
Built-up  Area,Ready To Move,Pai Layout,,,3800,6,,175
Built-up  Area,Ready To Move,Haralur Road,,Oznzaes,4694,5,,375
Built-up  Area,18-Dec,Electronic City,,,1200,2,1,34.66
Plot  Area,Ready To Move,Hulimavu,,,1200,4,1,75
Built-up  Area,Ready To Move,Harlur,,,1225,2,2,56
Super built-up  Area,18-Apr,Thanisandra,,Bhmesy ,1056,2,1,75
Super built-up  Area,18-Jun,9th Phase JP Nagar,,,1240,2,2,42.85
Super built-up  Area,17-Oct,Banashankari,,,1200,3,2,74.52
Super built-up  Area,18-Dec,Kudlu Gate,,Sanzaat,1850,3,2,110
